Body,Speed (Ground),Speed (Water),Speed (Air),Speed (Anti-Gravity),Acceleration,Weight,Handling (Ground),Handling (Water),Handling (Air),Handling (Anti-Gravity),Traction,Mini Turbo
"Biddybuggy, Mr. Scooty",0,1,1,2,7,0,5,4,4,5,4,7
"Streetle, Landship",2,5,2,0,6,0,4,5,3,2,6,6
"Pipe Frame, Varmint, City Tripper",2,3,1,1,6,1,5,4,2,4,4,6
"Cat Cruiser, Comet, Yoshi Bike, Teddy Buggy",2,2,4,3,5,2,4,2,4,3,3,6
"W 25 Silver Arrow, Standard Bike, Flame Rider, Wild Wiggler",2,2,3,4,5,1,4,3,3,4,5,5
"Mach 8, Sports Coupe, Inkstriker",3,3,4,5,3,3,2,2,2,4,4,5
"Tanooki Kart, Koopa Clown, Master Cycle Zero",3,4,3,3,2,3,4,4,3,3,7,5
"300 SL Roadster, Standard Kart, The Duke",3,3,3,3,4,2,3,2,3,3,3,5
"Blue Falcon, Splat Buggy",4,2,3,4,3,0,2,3,1,5,3,4
"Sport Bike, Jet Bike, Prancer",4,3,3,3,2,1,3,3,3,2,2,4
"Sneeker, Gold Standard, Master Cycle",4,2,3,3,2,2,3,2,2,3,0,4
"Steel Driver, Tri-Speeder, Bone Rattler",4,5,0,2,1,4,1,5,1,1,3,3
"Circuit Special, B Dasher, P-Wing",5,1,2,4,1,3,1,1,0,2,1,3
"Badwagon, GLA, Standard ATV",5,2,1,3,0,4,0,1,0,1,5,3
