Drivers,SpeedPaved,SpeedOffroad,SpeedWater,Acceleration,MiniTurbo,Weight,HandlingPaved,HandlingOffroad,HandlingWater
Baby Peach • Baby Daisy • Para-Biddybud • Swoop,7,7,7,14,12,6,13,13,13
Baby Mario • Goomba • Spike,8,7,7,13,11,7,14,12,12
Baby Luigi • Dry Bones • Peepa,7,8,7,13,11,7,12,14,12
Baby Rosalina • Sidestepper • Fish Bone,7,7,8,13,11,7,12,12,14
Toadette • Nabbit,9,8,8,12,11,8,13,11,11
Toad • Shy Guy • Stingby,8,9,8,12,11,8,11,13,11
Koopa Troopa • Lakitu • Cheep Cheep,8,8,9,12,11,8,11,11,13
Peach • Daisy • Coin Coffer,10,9,9,11,10,9,12,10,10
Yoshi • Monty Mole,9,10,9,11,10,9,10,12,10
Bowser Jr. • Dolphin,9,9,10,11,10,9,10,10,12
Mario • Rocky Wrench,11,10,10,10,9,10,11,9,9
Luigi • Hammer Bro • Pokey,10,11,10,10,9,10,9,11,9
Birdo • Penguin,10,10,11,10,9,10,9,9,11
Pauline • Piranha Plant • Snowman,12,11,11,9,8,11,10,8,8
King Boo • Conkdor,11,12,11,9,8,11,8,10,8
Rosalina • Cataquack,11,11,12,9,8,11,8,8,10
Wario • Wiggler,13,12,12,8,8,12,9,7,7
Donkey Kong • Cow • Chargin' Chuck,12,13,12,8,8,12,7,9,7
Waluigi • Pianta,12,12,13,8,8,12,7,7,9
Bowser,13,13,13,7,8,13,7,7,7
