Vehicles,SpeedPaved,SpeedOffroad,SpeedWater,Acceleration,MiniTurbo,Weight,HandlingPaved,HandlingOffroad,HandlingWater
Standard Bike • Cute Scoot • Tune Thumper,-4,-4,-4,+5,+5,-3,+2,+2,+2
Rally Bike • Hyper Pipe,-5,0,-5,+4,+4,-3,+1,+5,+1
Fin Twin • Dolphin Dasher,-5,-5,0,+4,+4,-3,+1,+1,+5
Pipe Frame,-3,-3,-3,+4,+4,-2,+1,+1,+1
Mach Rocket • R.O.B. H.O.G.,+1,-4,-4,+3,+3,-3,+5,+1,+1
Biddybuggy,-4,+1,-4,+3,+3,-2,0,+4,0
Baby Blooper,+2,-3,-3,+2,+2,-2,+4,0,0
Loco Moto,-1,-1,-1,+2,+2,-2,+1,+1,+1
Blastronaut III,0,0,0,+2,+2,0,-2,-2,-2
Standard Kart • Plushbuggy,0,0,0,+1,+1,-1,0,0,0
Funky Dorrie,-1,-1,+3,+1,+1,+1,-4,-4,+1
Hot Rod • Roadster Royale • B Dasher • Bumble V,+3,-1,-1,0,0,0,+3,-2,-2
Rally Kart • Zoom Buggy,-1,+3,-1,0,0,0,-2,+3,-2
Ribbit Revster • Carpet Flyer • Cloud 9,-1,-1,+3,0,0,0,-2,-2,+3
Dread Sled,-2,+4,0,-1,-1,0,-2,+4,-1
W-Twin Chopper,+2,+2,+2,-1,-1,-1,0,0,0
Junkyard Hog,+3,+3,+3,-1,-1,+1,-3,-3,-3
Rallygator,+4,+1,+1,-1,-1,+3,0,-6,-6
Reel Racer,+3,+3,+3,-2,-2,0,-1,-1,-1
Big Horn • Billdozer,+4,+1,+1,-2,-2,+2,+2,-4,-4
Lobster Roller,+2,+2,+5,-2,-2,+3,-6,-6,0
Chargin' Truck • Bowser Bruiser • Tiny Titan • Li'l Dumpy,+2,+5,+2,-3,-3,+2,-4,+2,-4
Mecha Trike,+2,+2,+5,-3,-3,+2,-4,-4,+2
Stellar Sled,+1,+3,+6,-4,-4,+2,-4,-3,+3
